motor,pwm,pos,duration,n_points,first,last,sum,actual_n_points,actual_first,actual_last,actual_sum,n_points_match,first_abs_error,last_abs_error,sum_abs_error,max_abs_error,regression_pass,monotonic
1,-255,8252,0.2,1,-788.666666666667,-788.666666666667,-788.666666666667,1,-788.666666666667,-788.666666666667,-788.666666666667,1,0,0,0,0,1,1
1,-255,8252,3,21,-664.833333333333,-788.666666666667,-16438.1666666667,21,-664.833333333333,-788.666666666667,-16438.1666666667,1,0,0,3.63797880709171e-12,3.63797880709171e-12,1,1
1,-255,11293,0.2,1,-774,-774,-774,1,-774,-774,-774,1,0,0,0,0,1,1
1,-255,11293,3,21,2046,-788.666666666667,-13727.3333333333,21,2046,-788.666666666667,-13727.3333333333,1,0,0,0,0,1,1
1,-255,14334,0.2,1,1526.66666666667,1526.66666666667,1526.66666666667,1,1526.66666666667,1526.66666666667,1526.66666666667,1,0,0,0,0,1,1
1,-255,14334,3,21,5228.33333333333,-788.666666666667,-10545,21,5228.33333333333,-788.666666666667,-10545,1,0,0,1.81898940354586e-12,1.81898940354586e-12,1,1
1,-255,17375,0.2,1,5034.33333333333,5034.33333333333,5034.33333333333,1,5034.33333333333,5034.33333333333,5034.33333333333,1,0,0,0,0,1,1
1,-255,17375,3,21,8714.66666666667,-788.666666666667,-6686.5,21,8714.66666666667,-788.666666666667,-6686.5,1,0,0,0,0,1,1
2,64,0,0.2,1,1868.33333333333,1868.33333333333,1868.33333333333,1,1868.33333333333,1868.33333333333,1868.33333333333,1,0,0,0,0,1,1
2,64,0,3,21,1414.66666666667,3598,65116.6666666667,21,1414.66666666667,3598,65116.6666666667,1,0,0,7.27595761418343e-12,7.27595761418343e-12,1,1
2,64,877.5,0.2,1,2274,2274,2274,1,2274,2274,2274,1,0,0,0,0,1,1
2,64,877.5,3,21,2066,3598,66723.3333333333,21,2066,3598,66723.3333333333,1,0,0,1.45519152283669e-11,1.45519152283669e-11,1,1
2,64,1755,0.2,1,2421,2421,2421,1,2421,2421,2421,1,0,0,0,0,1,1
2,64,1755,3,21,2354,3598,67863,21,2354,3598,67863,1,0,0,0,0,1,1
2,64,2632.5,0.2,1,2703.66666666667,2703.66666666667,2703.66666666667,1,2703.66666666667,2703.66666666667,2703.66666666667,1,0,0,0,0,1,1
2,64,2632.5,3,21,2702.33333333333,3598,73189.3333333333,21,2702.33333333333,3598,73189.3333333333,1,0,0,0,0,1,1
2,64,3510,0.2,1,3598,3598,3598,1,3598,3598,3598,1,0,0,0,0,1,1
2,64,3510,3,21,3598,3598,75558,21,3598,3598,75558,1,0,0,0,0,1,1
2,64,4387.5,0.2,1,4387.5,4387.5,4387.5,1,4387.5,4387.5,4387.5,1,0,0,0,0,1,1
2,64,4387.5,3,21,4387.5,4387.5,92137.5,21,4387.5,4387.5,92137.5,1,0,0,0,0,1,1
2,64,5265,0.2,1,5265,5265,5265,1,5265,5265,5265,1,0,0,0,0,1,1
2,64,5265,3,21,5265,5265,110565,21,5265,5265,110565,1,0,0,0,0,1,1
2,-64,-24,0.2,1,-24,-24,-24,1,-24,-24,-24,1,0,0,0,0,1,1
